ndTE,work,cost,abdominal_mass,spring_constant,length_scale,petiole_length
0.12201500000000001,0.21046199999999998,38.338877000000004,0.1,0.1,1.0,0.0
0.11848900000000001,0.211554,36.769419,0.1,0.1,1.0,0.0
0.127112,0.210783,38.055828999999996,0.1,0.1,1.0,0.0
0.11889000000000001,0.222544,38.736388,0.1,0.1,1.0,0.0
0.11591800000000001,0.211331,39.826479,0.1,0.1,1.0,0.0
0.118827,0.207382,40.18483,0.1,0.1,1.0,0.0
0.115402,0.20546399999999998,41.177069,0.1,0.1,1.0,0.0
0.123402,0.2095,39.155732,0.1,0.1,1.0,0.0
0.126108,0.21904099999999999,36.896249,0.1,0.1,1.0,0.0
0.12078499999999999,0.218493,40.226259999999996,0.1,0.1,1.0,0.0
0.123931,0.21463000000000002,36.773661,0.1,0.1,1.0,0.0
0.11863399999999999,0.21093,39.240303000000004,0.1,0.1,1.0,0.0
0.11749200000000001,0.214864,38.182958,0.1,0.1,1.0,0.0
0.129146,0.214705,36.839593,0.1,0.1,1.0,0.0
0.119479,0.21367199999999997,36.612056,0.1,0.1,1.0,0.0
0.12410999999999998,0.21669499999999997,35.063787,0.1,0.1,1.0,0.0
0.11696300000000001,0.210227,38.607282,0.1,0.1,1.0,0.0
0.11783900000000001,0.20526,38.250747,0.1,0.1,1.0,0.0
0.129411,0.21569499999999997,37.032758,0.1,0.1,1.0,0.0
0.11824000000000001,0.20909299999999997,37.864289,0.1,0.1,1.0,0.0
0.112998,0.20842800000000003,37.705807,0.1,0.1,1.0,0.0
0.112469,0.205612,38.782334000000006,0.1,0.1,1.0,0.0
0.116775,0.218954,36.392571999999994,0.1,0.1,1.0,0.0
0.119149,0.213496,39.474470000000004,0.1,0.1,1.0,0.0
0.11917699999999999,0.20780700000000002,38.347674,0.1,0.1,1.0,0.0
0.12147899999999999,0.210022,37.744606,0.1,0.1,1.0,0.0
0.118346,0.21611599999999997,37.296585,0.1,0.1,1.0,0.0
0.129141,0.21968600000000002,36.222840000000005,0.1,0.1,1.0,0.0
0.13076500000000002,0.213294,36.123314,0.1,0.1,1.0,0.0
0.11703599999999999,0.212454,40.226368,0.1,0.1,1.0,0.0
0.12421099999999999,0.222034,39.456545,0.1,0.1,1.0,0.0
0.12131800000000001,0.215758,39.842526,0.1,0.1,1.0,0.0
0.120547,0.208587,37.224824,0.1,0.1,1.0,0.0
0.124231,0.21839299999999998,37.468138,0.1,0.1,1.0,0.0
0.115397,0.203873,43.238384,0.1,0.1,1.0,0.0
0.11602799999999999,0.20540999999999998,36.590244,0.1,0.1,1.0,0.0
0.122281,0.216788,39.101586,0.1,0.1,1.0,0.0
0.11873199999999999,0.21119000000000002,37.718066,0.1,0.1,1.0,0.0
0.133239,0.22507600000000003,36.731291,0.1,0.1,1.0,0.0
0.11856099999999999,0.209391,37.124206,0.1,0.1,1.0,0.0
0.11245999999999999,0.20826399999999998,38.580104999999996,0.1,1.0,1.0,0.0
0.118476,0.202004,38.107207,0.1,1.0,1.0,0.0
0.109126,0.203457,38.267348999999996,0.1,1.0,1.0,0.0
0.126125,0.21282199999999998,36.298365999999994,0.1,1.0,1.0,0.0
0.126059,0.20812600000000003,35.293397999999996,0.1,1.0,1.0,0.0
0.12343499999999999,0.207127,38.219165999999994,0.1,1.0,1.0,0.0
0.1195,0.208358,38.731531,0.1,1.0,1.0,0.0
0.118717,0.210202,36.557373,0.1,1.0,1.0,0.0
0.12011600000000001,0.20235699999999998,37.047657,0.1,1.0,1.0,0.0
0.12263299999999999,0.21318600000000001,39.555345,0.1,1.0,1.0,0.0
0.122367,0.213731,37.096779,0.1,1.0,1.0,0.0
0.12896300000000002,0.21921999999999997,39.102384,0.1,1.0,1.0,0.0
0.113918,0.207722,38.913292999999996,0.1,1.0,1.0,0.0
0.11578,0.20862600000000003,40.329943,0.1,1.0,1.0,0.0
0.121255,0.210893,38.870357,0.1,1.0,1.0,0.0
0.118256,0.20258800000000002,36.967883,0.1,1.0,1.0,0.0
0.115917,0.209675,39.320065,0.1,1.0,1.0,0.0
0.11183199999999999,0.204125,37.513967,0.1,1.0,1.0,0.0
0.11831300000000002,0.20509699999999997,38.077116,0.1,1.0,1.0,0.0
0.118256,0.21173499999999998,37.985049,0.1,1.0,1.0,0.0
0.12056199999999999,0.213824,39.703301,0.1,1.0,1.0,0.0
0.112205,0.204396,38.406242999999996,0.1,1.0,1.0,0.0
0.12181900000000001,0.210213,35.241289,0.1,1.0,1.0,0.0
0.113325,0.206833,38.039093,0.1,1.0,1.0,0.0
0.112121,0.211377,36.043246,0.1,1.0,1.0,0.0
0.12173599999999998,0.217433,39.060860999999996,0.1,1.0,1.0,0.0
0.112883,0.200744,38.100483000000004,0.1,1.0,1.0,0.0
0.12208800000000002,0.21948800000000002,37.392765000000004,0.1,1.0,1.0,0.0
0.11467000000000001,0.206984,38.669413,0.1,1.0,1.0,0.0
0.12046199999999999,0.20529,36.94416,0.1,1.0,1.0,0.0
0.10953299999999999,0.200001,37.917770000000004,0.1,1.0,1.0,0.0
0.11634000000000001,0.2122,36.991439,0.1,1.0,1.0,0.0
0.11893599999999999,0.218795,41.755432,0.1,1.0,1.0,0.0
0.11566300000000002,0.210298,39.629683,0.1,1.0,1.0,0.0
0.12262100000000001,0.206814,37.646832,0.1,1.0,1.0,0.0
0.118987,0.209749,38.494305,0.1,1.0,1.0,0.0
0.104191,0.203489,44.309355,0.1,1.0,1.0,0.0
0.119023,0.200649,38.590199,0.1,1.0,1.0,0.0
0.12250799999999999,0.211853,38.167705,0.1,1.0,1.0,0.0
0.120122,0.207681,38.525055,0.1,1.0,1.0,0.0
0.12347899999999999,0.21364499999999997,35.779382,0.1,10.0,1.0,0.0
0.11998099999999999,0.20588499999999998,37.052533000000004,0.1,10.0,1.0,0.0
0.118996,0.20526799999999998,36.836712,0.1,10.0,1.0,0.0
0.115673,0.204657,39.041576,0.1,10.0,1.0,0.0
0.106306,0.196222,41.795485,0.1,10.0,1.0,0.0
0.115192,0.209067,38.838652,0.1,10.0,1.0,0.0
0.11781199999999999,0.20533,45.355711,0.1,10.0,1.0,0.0
0.121201,0.205923,36.732846,0.1,10.0,1.0,0.0
0.12293399999999999,0.208639,36.635348,0.1,10.0,1.0,0.0
0.11573399999999999,0.20183299999999998,36.415845000000004,0.1,10.0,1.0,0.0
0.117148,0.199027,37.233805,0.1,10.0,1.0,0.0
0.12501400000000001,0.205738,38.217605999999996,0.1,10.0,1.0,0.0
0.12006099999999999,0.202707,36.621668,0.1,10.0,1.0,0.0
0.11676800000000001,0.206693,35.90465,0.1,10.0,1.0,0.0
0.117861,0.21058000000000002,36.335958000000005,0.1,10.0,1.0,0.0
0.125176,0.20519600000000002,35.29823,0.1,10.0,1.0,0.0
0.11841900000000001,0.20394600000000002,35.812084000000006,0.1,10.0,1.0,0.0
0.115523,0.21089000000000002,36.473141999999996,0.1,10.0,1.0,0.0
0.114223,0.196911,37.210886,0.1,10.0,1.0,0.0
0.119279,0.200851,36.133611,0.1,10.0,1.0,0.0
0.12156199999999999,0.210573,37.663047999999996,0.1,10.0,1.0,0.0
0.11432,0.198872,34.833546000000005,0.1,10.0,1.0,0.0
0.117449,0.19815,35.562967,0.1,10.0,1.0,0.0
0.11064600000000001,0.20113399999999998,35.837947,0.1,10.0,1.0,0.0
0.11289,0.20035799999999998,39.454626,0.1,10.0,1.0,0.0
0.12359400000000001,0.205972,37.067523,0.1,10.0,1.0,0.0
0.113507,0.204622,36.623762,0.1,10.0,1.0,0.0
0.117074,0.200268,37.083076,0.1,10.0,1.0,0.0
0.127827,0.21270300000000003,37.167517,0.1,10.0,1.0,0.0
0.110873,0.195918,40.32028,0.1,10.0,1.0,0.0
0.12403800000000001,0.20806999999999998,38.154771000000004,0.1,10.0,1.0,0.0
0.11942699999999999,0.20506799999999997,46.544481,0.1,10.0,1.0,0.0
0.117075,0.20401,36.161589,0.1,10.0,1.0,0.0
0.127376,0.20701,37.150723,0.1,10.0,1.0,0.0
0.111542,0.20211800000000002,39.956902,0.1,10.0,1.0,0.0
0.11693599999999998,0.202829,38.852153,0.1,10.0,1.0,0.0
