ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.119023,0.200649,38.590199,LSF_1,vertical,m001k010,0.1,1,1,0
0.122508,0.211853,38.167705,LSF_1,vertical,m001k010,0.1,1,1,0
0.120122,0.207681,38.525055,LSF_1,vertical,m001k010,0.1,1,1,0
0.123479,0.213645,35.779382,LSF_1,vertical,m001k100,0.1,10,1,0
0.119981,0.205885,37.052533,LSF_1,vertical,m001k100,0.1,10,1,0
0.118996,0.205268,36.836712,LSF_1,vertical,m001k100,0.1,10,1,0
0.115673,0.204657,39.041576,LSF_1,vertical,m001k100,0.1,10,1,0
0.106306,0.196222,41.795485,LSF_1,vertical,m001k100,0.1,10,1,0
0.115192,0.209067,38.838652,LSF_1,vertical,m001k100,0.1,10,1,0
0.117812,0.20533,45.355711,LSF_1,vertical,m001k100,0.1,10,1,0
0.121201,0.205923,36.732846,LSF_1,vertical,m001k100,0.1,10,1,0
0.122934,0.208639,36.635348,LSF_1,vertical,m001k100,0.1,10,1,0
0.115734,0.201833,36.415845,LSF_1,vertical,m001k100,0.1,10,1,0
0.117148,0.199027,37.233805,LSF_1,vertical,m001k100,0.1,10,1,0
0.125014,0.205738,38.217606,LSF_1,vertical,m001k100,0.1,10,1,0
0.120061,0.202707,36.621668,LSF_1,vertical,m001k100,0.1,10,1,0
0.116768,0.206693,35.90465,LSF_1,vertical,m001k100,0.1,10,1,0
0.117861,0.21058,36.335958,LSF_1,vertical,m001k100,0.1,10,1,0
0.125176,0.205196,35.29823,LSF_1,vertical,m001k100,0.1,10,1,0
0.118419,0.203946,35.812084,LSF_1,vertical,m001k100,0.1,10,1,0
0.115523,0.21089,36.473142,LSF_1,vertical,m001k100,0.1,10,1,0
0.114223,0.196911,37.210886,LSF_1,vertical,m001k100,0.1,10,1,0
0.119279,0.200851,36.133611,LSF_1,vertical,m001k100,0.1,10,1,0
0.121562,0.210573,37.663048,LSF_1,vertical,m001k100,0.1,10,1,0
0.11432,0.198872,34.833546,LSF_1,vertical,m001k100,0.1,10,1,0
0.117449,0.19815,35.562967,LSF_1,vertical,m001k100,0.1,10,1,0
0.110646,0.201134,35.837947,LSF_1,vertical,m001k100,0.1,10,1,0
0.11289,0.200358,39.454626,LSF_1,vertical,m001k100,0.1,10,1,0
0.123594,0.205972,37.067523,LSF_1,vertical,m001k100,0.1,10,1,0
0.113507,0.204622,36.623762,LSF_1,vertical,m001k100,0.1,10,1,0
0.117074,0.200268,37.083076,LSF_1,vertical,m001k100,0.1,10,1,0
0.127827,0.212703,37.167517,LSF_1,vertical,m001k100,0.1,10,1,0
0.110873,0.195918,40.32028,LSF_1,vertical,m001k100,0.1,10,1,0
0.124038,0.20807,38.154771,LSF_1,vertical,m001k100,0.1,10,1,0
0.119427,0.205068,46.544481,LSF_1,vertical,m001k100,0.1,10,1,0
0.117075,0.20401,36.161589,LSF_1,vertical,m001k100,0.1,10,1,0
0.127376,0.20701,37.150723,LSF_1,vertical,m001k100,0.1,10,1,0
0.111542,0.202118,39.956902,LSF_1,vertical,m001k100,0.1,10,1,0
0.116936,0.202829,38.852153,LSF_1,vertical,m001k100,0.1,10,1,0
0.115617,0.197721,37.479026,LSF_1,vertical,m001k100,0.1,10,1,0
0.119174,0.209349,34.693818,LSF_1,vertical,m001k100,0.1,10,1,0
0.121387,0.208409,36.206645,LSF_1,vertical,m001k100,0.1,10,1,0
0.115561,0.206667,36.241341,LSF_1,vertical,m001k100,0.1,10,1,0
0.039318,0.165664,62.119917,LSF_1,vertical,m010k001,1,0.1,1,0
0.038065,0.164455,65.297346,LSF_1,vertical,m010k001,1,0.1,1,0
0.040821,0.171705,66.876197,LSF_1,vertical,m010k001,1,0.1,1,0
0.03776,0.168959,67.072168,LSF_1,vertical,m010k001,1,0.1,1,0
0.037192,0.17152,72.265528,LSF_1,vertical,m010k001,1,0.1,1,0
0.037616,0.167956,63.987922,LSF_1,vertical,m010k001,1,0.1,1,0
0.038325,0.1653,66.715681,LSF_1,vertical,m010k001,1,0.1,1,0
0.041063,0.168739,65.426907,LSF_1,vertical,m010k001,1,0.1,1,0
0.037231,0.168132,69.549671,LSF_1,vertical,m010k001,1,0.1,1,0
0.037103,0.166583,65.699967,LSF_1,vertical,m010k001,1,0.1,1,0
0.038945,0.164545,62.072213,LSF_1,vertical,m010k001,1,0.1,1,0
0.034259,0.171423,74.848942,LSF_1,vertical,m010k001,1,0.1,1,0
0.041038,0.170276,65.729027,LSF_1,vertical,m010k001,1,0.1,1,0
0.039228,0.169107,67.726608,LSF_1,vertical,m010k001,1,0.1,1,0
0.038743,0.166166,62.37335,LSF_1,vertical,m010k001,1,0.1,1,0
0.040167,0.176249,66.451036,LSF_1,vertical,m010k001,1,0.1,1,0
0.037588,0.168829,66.855473,LSF_1,vertical,m010k001,1,0.1,1,0
0.037675,0.169286,70.419562,LSF_1,vertical,m010k001,1,0.1,1,0
0.036636,0.168568,67.451626,LSF_1,vertical,m010k001,1,0.1,1,0
0.037322,0.166533,64.917095,LSF_1,vertical,m010k001,1,0.1,1,0
0.037148,0.164578,61.278038,LSF_1,vertical,m010k001,1,0.1,1,0
0.039538,0.170431,68.061245,LSF_1,vertical,m010k001,1,0.1,1,0
0.037645,0.170634,66.895274,LSF_1,vertical,m010k001,1,0.1,1,0
0.039464,0.169217,70.603747,LSF_1,vertical,m010k001,1,0.1,1,0
0.038333,0.166372,63.018773,LSF_1,vertical,m010k001,1,0.1,1,0
0.040643,0.167749,65.3744,LSF_1,vertical,m010k001,1,0.1,1,0
0.037827,0.163974,63.672157,LSF_1,vertical,m010k001,1,0.1,1,0
0.037879,0.170281,69.654217,LSF_1,vertical,m010k001,1,0.1,1,0
0.036811,0.163272,66.3258,LSF_1,vertical,m010k001,1,0.1,1,0
0.039585,0.171296,67.739324,LSF_1,vertical,m010k001,1,0.1,1,0
0.037951,0.165484,65.098421,LSF_1,vertical,m010k001,1,0.1,1,0
0.038838,0.167547,68.005867,LSF_1,vertical,m010k001,1,0.1,1,0
0.038976,0.173722,68.905971,LSF_1,vertical,m010k001,1,0.1,1,0
0.038885,0.169493,64.832232,LSF_1,vertical,m010k001,1,0.1,1,0
0.041453,0.171243,65.36512,LSF_1,vertical,m010k001,1,0.1,1,0
0.038279,0.167746,66.563368,LSF_1,vertical,m010k001,1,0.1,1,0
0.039644,0.169081,66.271599,LSF_1,vertical,m010k001,1,0.1,1,0
0.039316,0.168184,66.579442,LSF_1,vertical,m010k001,1,0.1,1,0
0.040856,0.169904,61.492969,LSF_1,vertical,m010k001,1,0.1,1,0
0.037698,0.169745,66.697424,LSF_1,vertical,m010k001,1,0.1,1,0
0.038027,0.164338,66.837195,LSF_1,vertical,m010k010,1,1,1,0
0.040666,0.174364,66.927362,LSF_1,vertical,m010k010,1,1,1,0
0.039563,0.165523,65.268954,LSF_1,vertical,m010k010,1,1,1,0
0.038313,0.171517,65.934008,LSF_1,vertical,m010k010,1,1,1,0
0.036908,0.16585,62.323529,LSF_1,vertical,m010k010,1,1,1,0
0.038509,0.164771,62.76519,LSF_1,vertical,m010k010,1,1,1,0
0.036368,0.163781,66.993213,LSF_1,vertical,m010k010,1,1,1,0
0.037023,0.162709,70.553166,LSF_1,vertical,m010k010,1,1,1,0
0.037978,0.167051,72.128546,LSF_1,vertical,m010k010,1,1,1,0
0.039505,0.169491,64.323643,LSF_1,vertical,m010k010,1,1,1,0
0.037516,0.164791,65.138368,LSF_1,vertical,m010k010,1,1,1,0
0.038197,0.164585,65.023489,LSF_1,vertical,m010k010,1,1,1,0
0.037628,0.16889,68.429747,LSF_1,vertical,m010k010,1,1,1,0
0.03782,0.165923,67.33011,LSF_1,vertical,m010k010,1,1,1,0
0.039429,0.168321,63.08112,LSF_1,vertical,m010k010,1,1,1,0
0.037945,0.167387,67.318615,LSF_1,vertical,m010k010,1,1,1,0
0.038554,0.168348,69.121342,LSF_1,vertical,m010k010,1,1,1,0
0.037983,0.168419,67.171618,LSF_1,vertical,m010k010,1,1,1,0
0.040228,0.165282,66.664546,LSF_1,vertical,m010k010,1,1,1,0
0.038824,0.167787,69.278018,LSF_1,vertical,m010k010,1,1,1,0
