ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.69384,0.000203,41.003429,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.667351,0.000201,43.735907,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.746194,0.000205,39.624729,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.635585,0.000195,42.931375,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.638561,0.000195,42.963208,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.637225,0.000194,42.799577,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.653674,0.000206,42.326686,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.674921,0.000206,44.627216,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.671597,0.000199,39.384421,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.686892,0.000201,43.247894,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.672668,0.000196,40.115467,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.639941,0.000198,42.490056,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.618997,0.000199,42.844827,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.647784,0.000193,42.250513,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.670707,0.000202,40.877373,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.605391,0.000189,40.458375,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.641874,0.000196,41.244119,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.698332,0.0002,41.797631,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.699734,0.000198,40.448731,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.650391,0.000193,48.819059,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.610585,0.000199,42.532231,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.657353,0.000196,39.987495,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.66112,0.000191,44.261796,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.664194,0.000201,41.496343,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.687402,0.000195,38.417862,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.664538,0.000191,41.178252,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.59716,0.000195,45.128721,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.680671,0.000199,42.461967,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.637043,0.000194,44.766834,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.626352,0.000194,43.525199,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.643957,0.000195,37.912927,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.684795,0.000203,39.891288,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.609868,0.000187,42.351495,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.719774,0.000199,42.277317,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.628654,0.000188,42.56801,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.657048,0.000194,40.94252,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.670585,0.000198,41.716094,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.626429,0.000198,44.870882,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.67161,0.000197,44.317022,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.66195,0.000207,41.926755,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.705961,0.000206,40.373385,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.701263,0.000195,39.407176,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.679849,0.000199,39.287953,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.653837,0.000194,43.881195,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.63467,0.000192,40.978292,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.663167,0.000195,39.490121,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.602519,0.000192,37.925553,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.625456,0.000189,42.327814,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.623136,0.000188,43.178074,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.710464,0.0002,38.800292,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.211808,0.000154,102.065055,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215621,0.000151,96.091867,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.2057,0.000152,103.264447,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206552,0.00015,104.931593,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204207,0.000147,107.114147,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204195,0.000147,104.908058,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.217461,0.000153,99.193122,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215574,0.000153,107.952131,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.214156,0.000154,97.202414,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.212072,0.000154,103.223034,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.229321,0.000159,116.353295,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.197072,0.000147,110.19905,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.221671,0.000152,104.060287,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.202576,0.000148,106.370153,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204635,0.000152,119.399049,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215527,0.00015,98.06072,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.205969,0.000148,108.284821,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.207845,0.00015,104.759472,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.214107,0.000155,107.260451,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.21552,0.000153,103.690912,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203636,0.000145,106.040258,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203092,0.000151,101.146704,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203266,0.000155,104.424764,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.218098,0.000156,103.240345,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.216211,0.000151,101.032211,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204034,0.000149,101.417881,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.201648,0.000146,104.942809,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.189638,0.000151,108.192291,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206177,0.000154,111.203022,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.208047,0.000147,101.609458,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.19759,0.000148,104.844618,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.222677,0.00015,109.22704,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.211223,0.000152,106.425914,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.208665,0.000148,102.640193,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.21271,0.000155,107.411957,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.200024,0.000156,106.732204,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203773,0.000152,111.909341,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206791,0.000151,102.929203,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.21397,0.000151,96.212776,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.207069,0.000155,107.46047,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.207208,0.000145,98.972791,LSF_1,hover,m_1_K_1,1,1,1,0
0.217171,0.000146,113.32749,LSF_1,hover,m_1_K_1,1,1,1,0
0.194343,0.000149,105.540634,LSF_1,hover,m_1_K_1,1,1,1,0
0.206092,0.00015,97.482537,LSF_1,hover,m_1_K_1,1,1,1,0
0.212156,0.000153,100.956683,LSF_1,hover,m_1_K_1,1,1,1,0
0.223506,0.000153,94.487502,LSF_1,hover,m_1_K_1,1,1,1,0
0.219915,0.00015,103.731395,LSF_1,hover,m_1_K_1,1,1,1,0
0.222063,0.00015,94.757114,LSF_1,hover,m_1_K_1,1,1,1,0
0.200914,0.000152,113.563866,LSF_1,hover,m_1_K_1,1,1,1,0
0.213424,0.000151,96.569024,LSF_1,hover,m_1_K_1,1,1,1,0
0.219285,0.000157,104.552663,LSF_1,hover,m_1_K_1,1,1,1,0
0.207774,0.000153,101.695724,LSF_1,hover,m_1_K_1,1,1,1,0
0.210835,0.000152,104.665563,LSF_1,hover,m_1_K_1,1,1,1,0
0.20376,0.000151,101.85707,LSF_1,hover,m_1_K_1,1,1,1,0
0.214424,0.000151,105.907026,LSF_1,hover,m_1_K_1,1,1,1,0
0.21311,0.000152,102.745252,LSF_1,hover,m_1_K_1,1,1,1,0
0.214991,0.000149,96.990873,LSF_1,hover,m_1_K_1,1,1,1,0
0.222814,0.000156,98.17796,LSF_1,hover,m_1_K_1,1,1,1,0
0.207194,0.000156,107.936771,LSF_1,hover,m_1_K_1,1,1,1,0
0.204895,0.000144,106.615731,LSF_1,hover,m_1_K_1,1,1,1,0
0.21904,0.000153,110.016579,LSF_1,hover,m_1_K_1,1,1,1,0
0.201695,0.00015,113.138056,LSF_1,hover,m_1_K_1,1,1,1,0
0.211654,0.000148,101.551147,LSF_1,hover,m_1_K_1,1,1,1,0
0.209034,0.000151,109.403115,LSF_1,hover,m_1_K_1,1,1,1,0
0.210668,0.000144,97.975664,LSF_1,hover,m_1_K_1,1,1,1,0
0.214707,0.000154,104.985611,LSF_1,hover,m_1_K_1,1,1,1,0
0.208031,0.00015,98.142768,LSF_1,hover,m_1_K_1,1,1,1,0
0.211791,0.000147,97.325013,LSF_1,hover,m_1_K_1,1,1,1,0
0.206329,0.000147,94.928441,LSF_1,hover,m_1_K_1,1,1,1,0
0.198108,0.000149,102.572044,LSF_1,hover,m_1_K_1,1,1,1,0
0.215313,0.000156,108.519899,LSF_1,hover,m_1_K_1,1,1,1,0
0.195712,0.000151,104.04269,LSF_1,hover,m_1_K_1,1,1,1,0
0.189818,0.000151,112.670606,LSF_1,hover,m_1_K_1,1,1,1,0
0.227729,0.000151,99.7363,LSF_1,hover,m_1_K_1,1,1,1,0
0.208487,0.000144,106.398182,LSF_1,hover,m_1_K_1,1,1,1,0
0.210562,0.000153,96.550693,LSF_1,hover,m_1_K_1,1,1,1,0
0.205184,0.000151,111.666677,LSF_1,hover,m_1_K_1,1,1,1,0
0.213291,0.00015,98.235958,LSF_1,hover,m_1_K_1,1,1,1,0
0.207348,0.00015,105.936282,LSF_1,hover,m_1_K_1,1,1,1,0
0.213457,0.000151,102.586806,LSF_1,hover,m_1_K_1,1,1,1,0
0.214066,0.000149,117.576084,LSF_1,hover,m_1_K_10,1,10,1,0
0.196596,0.000144,112.124365,LSF_1,hover,m_1_K_10,1,10,1,0
0.215148,0.000148,101.595557,LSF_1,hover,m_1_K_10,1,10,1,0
0.208924,0.000149,97.169302,LSF_1,hover,m_1_K_10,1,10,1,0
0.224555,0.000149,97.799252,LSF_1,hover,m_1_K_10,1,10,1,0
0.207491,0.000149,96.187003,LSF_1,hover,m_1_K_10,1,10,1,0
0.19781,0.000143,104.708151,LSF_1,hover,m_1_K_10,1,10,1,0
0.200741,0.000144,96.753842,LSF_1,hover,m_1_K_10,1,10,1,0
0.210954,0.00015,102.995812,LSF_1,hover,m_1_K_10,1,10,1,0
0.204957,0.000149,97.090648,LSF_1,hover,m_1_K_10,1,10,1,0
0.206,0.000144,105.626784,LSF_1,hover,m_1_K_10,1,10,1,0
0.201073,0.000144,103.265281,LSF_1,hover,m_1_K_10,1,10,1,0
0.212961,0.000154,114.645011,LSF_1,hover,m_1_K_10,1,10,1,0
0.194492,0.000146,114.373233,LSF_1,hover,m_1_K_10,1,10,1,0
0.213711,0.000149,99.289528,LSF_1,hover,m_1_K_10,1,10,1,0
0.206366,0.000143,98.575137,LSF_1,hover,m_1_K_10,1,10,1,0
0.200455,0.000144,98.866996,LSF_1,hover,m_1_K_10,1,10,1,0
0.195659,0.000147,101.641914,LSF_1,hover,m_1_K_10,1,10,1,0
0.207688,0.000142,104.675801,LSF_1,hover,m_1_K_10,1,10,1,0
0.195592,0.000145,106.493674,LSF_1,hover,m_1_K_10,1,10,1,0
0.194978,0.000142,94.143123,LSF_1,hover,m_1_K_10,1,10,1,0
0.21546,0.000146,92.574268,LSF_1,hover,m_1_K_10,1,10,1,0
0.214267,0.000151,106.821913,LSF_1,hover,m_1_K_10,1,10,1,0
0.195307,0.000149,107.824297,LSF_1,hover,m_1_K_10,1,10,1,0
0.207417,0.000149,96.471098,LSF_1,hover,m_1_K_10,1,10,1,0
0.204347,0.000149,97.030402,LSF_1,hover,m_1_K_10,1,10,1,0
0.200522,0.000148,98.680941,LSF_1,hover,m_1_K_10,1,10,1,0
0.21183,0.000148,98.43068,LSF_1,hover,m_1_K_10,1,10,1,0
0.209217,0.000148,102.42045,LSF_1,hover,m_1_K_10,1,10,1,0
0.203417,0.000144,109.490778,LSF_1,hover,m_1_K_10,1,10,1,0
0.197958,0.000143,105.522038,LSF_1,hover,m_1_K_10,1,10,1,0
0.211857,0.000145,89.020295,LSF_1,hover,m_1_K_10,1,10,1,0
0.223335,0.000147,95.065039,LSF_1,hover,m_1_K_10,1,10,1,0
0.194523,0.000143,103.107744,LSF_1,hover,m_1_K_10,1,10,1,0
0.204705,0.000148,96.658312,LSF_1,hover,m_1_K_10,1,10,1,0
0.218116,0.000144,94.529899,LSF_1,hover,m_1_K_10,1,10,1,0
0.211193,0.000152,99.162804,LSF_1,hover,m_1_K_10,1,10,1,0
0.198779,0.000149,100.83917,LSF_1,hover,m_1_K_10,1,10,1,0
0.204779,0.000145,97.899661,LSF_1,hover,m_1_K_10,1,10,1,0
0.195077,0.000144,99.18239,LSF_1,hover,m_1_K_10,1,10,1,0
0.087138,0.000165,296.912149,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.091103,0.000165,286.279416,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.091296,0.000165,306.747968,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.085082,0.000163,292.620368,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.092097,0.000167,281.922239,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.082178,0.000156,276.708232,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.085629,0.000164,270.639329,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.0869,0.000163,300.011493,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.086821,0.000164,275.244948,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.084554,0.000161,304.040106,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.083256,0.000159,279.416385,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.090236,0.000166,287.937952,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.091325,0.000159,257.73383,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.089858,0.000169,302.813628,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.090793,0.000171,316.354571,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.095372,0.00017,278.810171,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.079879,0.00016,275.141339,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.08166,0.00016,287.272638,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.088591,0.000167,275.493785,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.084582,0.000161,274.722151,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.090053,0.000169,289.227483,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.087656,0.000161,267.150005,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.086984,0.000164,265.541881,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.085912,0.000161,283.910024,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.089418,0.000165,275.857321,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.084816,0.000159,275.09126,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.092347,0.000167,285.580361,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.091517,0.000173,270.061444,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.084799,0.000164,281.163018,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.091291,0.000163,269.881923,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.093168,0.000171,313.896076,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.087671,0.000162,269.143078,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.0851,0.000163,286.183273,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.087272,0.000166,263.403863,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.094764,0.000167,285.723977,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.08801,0.000154,255.346223,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.087013,0.000169,293.762474,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.087482,0.000165,281.373168,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.090917,0.000171,291.306394,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.085873,0.000165,283.229801,LSF_1,hover,m_10_K_p1,10,0.1,1,0
0.075011,0.000146,283.252545,LSF_1,hover,m_10_K_1,10,1,1,0
0.072614,0.000144,268.37013,LSF_1,hover,m_10_K_1,10,1,1,0
0.074366,0.000143,258.633685,LSF_1,hover,m_10_K_1,10,1,1,0
0.081864,0.000144,255.46811,LSF_1,hover,m_10_K_1,10,1,1,0
0.076351,0.00014,265.135914,LSF_1,hover,m_10_K_1,10,1,1,0
0.078036,0.000146,284.05349,LSF_1,hover,m_10_K_1,10,1,1,0
0.068824,0.000151,292.477868,LSF_1,hover,m_10_K_1,10,1,1,0
0.0755,0.000146,270.895769,LSF_1,hover,m_10_K_1,10,1,1,0
0.072696,0.000145,270.002743,LSF_1,hover,m_10_K_1,10,1,1,0
0.067711,0.000148,288.711276,LSF_1,hover,m_10_K_1,10,1,1,0
0.078692,0.000144,262.177935,LSF_1,hover,m_10_K_1,10,1,1,0
0.076486,0.000142,251.762409,LSF_1,hover,m_10_K_1,10,1,1,0
0.070981,0.000149,278.190515,LSF_1,hover,m_10_K_1,10,1,1,0
0.067692,0.000146,307.067872,LSF_1,hover,m_10_K_1,10,1,1,0
0.067467,0.000149,297.16464,LSF_1,hover,m_10_K_1,10,1,1,0
0.0761,0.000139,269.329433,LSF_1,hover,m_10_K_1,10,1,1,0
0.067819,0.000142,309.747086,LSF_1,hover,m_10_K_1,10,1,1,0
0.076781,0.000146,287.821653,LSF_1,hover,m_10_K_1,10,1,1,0
0.083203,0.00014,244.375919,LSF_1,hover,m_10_K_1,10,1,1,0
0.077146,0.000146,243.892589,LSF_1,hover,m_10_K_1,10,1,1,0
0.082553,0.000145,254.609042,LSF_1,hover,m_10_K_1,10,1,1,0
0.073162,0.000147,275.093466,LSF_1,hover,m_10_K_1,10,1,1,0
0.086506,0.000145,275.083877,LSF_1,hover,m_10_K_1,10,1,1,0
0.07189,0.00014,263.697463,LSF_1,hover,m_10_K_1,10,1,1,0
0.080772,0.000142,257.077667,LSF_1,hover,m_10_K_1,10,1,1,0
0.069147,0.000141,301.954088,LSF_1,hover,m_10_K_1,10,1,1,0
0.085191,0.000147,279.244668,LSF_1,hover,m_10_K_1,10,1,1,0
0.07757,0.000143,278.641024,LSF_1,hover,m_10_K_1,10,1,1,0
0.075383,0.000146,263.328203,LSF_1,hover,m_10_K_1,10,1,1,0
0.072962,0.000146,300.433302,LSF_1,hover,m_10_K_1,10,1,1,0
0.075628,0.000139,275.696977,LSF_1,hover,m_10_K_1,10,1,1,0
0.069373,0.000146,293.733876,LSF_1,hover,m_10_K_1,10,1,1,0
0.08149,0.000144,271.676755,LSF_1,hover,m_10_K_1,10,1,1,0
0.080731,0.000143,275.621258,LSF_1,hover,m_10_K_1,10,1,1,0
0.07656,0.000146,296.966429,LSF_1,hover,m_10_K_1,10,1,1,0
0.0876,0.000145,252.100338,LSF_1,hover,m_10_K_1,10,1,1,0
