Tracking_Error,abdo_mass,length_scale,petiole_length,torsional_spring
0.12201500000000001,0.1,1.0,0.0,0.1
0.11848900000000001,0.1,1.0,0.0,0.1
0.127112,0.1,1.0,0.0,0.1
0.11889000000000001,0.1,1.0,0.0,0.1
0.11591800000000001,0.1,1.0,0.0,0.1
0.118827,0.1,1.0,0.0,0.1
0.115402,0.1,1.0,0.0,0.1
0.123402,0.1,1.0,0.0,0.1
0.126108,0.1,1.0,0.0,0.1
0.12078499999999999,0.1,1.0,0.0,0.1
0.123931,0.1,1.0,0.0,0.1
0.11863399999999999,0.1,1.0,0.0,0.1
0.11749200000000001,0.1,1.0,0.0,0.1
0.129146,0.1,1.0,0.0,0.1
0.119479,0.1,1.0,0.0,0.1
0.12410999999999998,0.1,1.0,0.0,0.1
0.11696300000000001,0.1,1.0,0.0,0.1
0.11783900000000001,0.1,1.0,0.0,0.1
0.129411,0.1,1.0,0.0,0.1
0.11824000000000001,0.1,1.0,0.0,0.1
0.112998,0.1,1.0,0.0,0.1
0.112469,0.1,1.0,0.0,0.1
0.116775,0.1,1.0,0.0,0.1
0.119149,0.1,1.0,0.0,0.1
0.11917699999999999,0.1,1.0,0.0,0.1
0.12147899999999999,0.1,1.0,0.0,0.1
0.118346,0.1,1.0,0.0,0.1
0.129141,0.1,1.0,0.0,0.1
0.13076500000000002,0.1,1.0,0.0,0.1
0.11703599999999999,0.1,1.0,0.0,0.1
0.12421099999999999,0.1,1.0,0.0,0.1
0.12131800000000001,0.1,1.0,0.0,0.1
0.120547,0.1,1.0,0.0,0.1
0.124231,0.1,1.0,0.0,0.1
0.115397,0.1,1.0,0.0,0.1
0.11602799999999999,0.1,1.0,0.0,0.1
0.122281,0.1,1.0,0.0,0.1
0.11873199999999999,0.1,1.0,0.0,0.1
0.133239,0.1,1.0,0.0,0.1
0.11856099999999999,0.1,1.0,0.0,0.1
0.11245999999999999,0.1,1.0,0.0,1.0
0.118476,0.1,1.0,0.0,1.0
0.109126,0.1,1.0,0.0,1.0
0.126125,0.1,1.0,0.0,1.0
0.126059,0.1,1.0,0.0,1.0
0.12343499999999999,0.1,1.0,0.0,1.0
0.1195,0.1,1.0,0.0,1.0
0.118717,0.1,1.0,0.0,1.0
0.12011600000000001,0.1,1.0,0.0,1.0
0.12263299999999999,0.1,1.0,0.0,1.0
0.122367,0.1,1.0,0.0,1.0
0.12896300000000002,0.1,1.0,0.0,1.0
0.113918,0.1,1.0,0.0,1.0
0.11578,0.1,1.0,0.0,1.0
0.121255,0.1,1.0,0.0,1.0
0.118256,0.1,1.0,0.0,1.0
0.115917,0.1,1.0,0.0,1.0
0.11183199999999999,0.1,1.0,0.0,1.0
0.11831300000000002,0.1,1.0,0.0,1.0
0.118256,0.1,1.0,0.0,1.0
0.12056199999999999,0.1,1.0,0.0,1.0
0.112205,0.1,1.0,0.0,1.0
0.12181900000000001,0.1,1.0,0.0,1.0
0.113325,0.1,1.0,0.0,1.0
0.112121,0.1,1.0,0.0,1.0
0.12173599999999998,0.1,1.0,0.0,1.0
0.112883,0.1,1.0,0.0,1.0
0.12208800000000002,0.1,1.0,0.0,1.0
0.11467000000000001,0.1,1.0,0.0,1.0
0.12046199999999999,0.1,1.0,0.0,1.0
0.10953299999999999,0.1,1.0,0.0,1.0
0.11634000000000001,0.1,1.0,0.0,1.0
0.11893599999999999,0.1,1.0,0.0,1.0
0.11566300000000002,0.1,1.0,0.0,1.0
0.12262100000000001,0.1,1.0,0.0,1.0
0.118987,0.1,1.0,0.0,1.0
0.104191,0.1,1.0,0.0,1.0
0.119023,0.1,1.0,0.0,1.0
0.12250799999999999,0.1,1.0,0.0,1.0
0.120122,0.1,1.0,0.0,1.0
0.12347899999999999,0.1,1.0,0.0,10.0
0.11998099999999999,0.1,1.0,0.0,10.0
0.118996,0.1,1.0,0.0,10.0
0.115673,0.1,1.0,0.0,10.0
0.106306,0.1,1.0,0.0,10.0
0.115192,0.1,1.0,0.0,10.0
0.11781199999999999,0.1,1.0,0.0,10.0
0.121201,0.1,1.0,0.0,10.0
0.12293399999999999,0.1,1.0,0.0,10.0
0.11573399999999999,0.1,1.0,0.0,10.0
0.117148,0.1,1.0,0.0,10.0
0.12501400000000001,0.1,1.0,0.0,10.0
0.12006099999999999,0.1,1.0,0.0,10.0
0.11676800000000001,0.1,1.0,0.0,10.0
0.117861,0.1,1.0,0.0,10.0
0.125176,0.1,1.0,0.0,10.0
0.11841900000000001,0.1,1.0,0.0,10.0
0.115523,0.1,1.0,0.0,10.0
0.114223,0.1,1.0,0.0,10.0
0.119279,0.1,1.0,0.0,10.0
0.12156199999999999,0.1,1.0,0.0,10.0
0.11432,0.1,1.0,0.0,10.0
0.117449,0.1,1.0,0.0,10.0
0.11064600000000001,0.1,1.0,0.0,10.0
0.11289,0.1,1.0,0.0,10.0
0.12359400000000001,0.1,1.0,0.0,10.0
0.113507,0.1,1.0,0.0,10.0
0.117074,0.1,1.0,0.0,10.0
